Filer,View,Title,Dept/Board,File Type,Date Filed,Amended
"Tsuji, Clifton K.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8752.pdf),"Legislator, District 2",House of Representatives,Financial,01/28/2016,false
"Woodson, Justin H.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8749.pdf),"Legislator, District 9",House of Representatives,Financial,01/27/2016,false
"LoPresti, Matthew S.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8746.pdf),"Legislator, District 41",House of Representatives,Financial,01/27/2016,false
"Cachola, Romeo M.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8738.pdf),"Legislator, District 30",House of Representatives,Financial,01/27/2016,false
"Keith-Agaran, Gilbert S.C.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11112.pdf),"Legislator, District 5",Senate,Financial,01/27/2016,false
"Ichiyama, Linda Eileen",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11111.pdf),"Legislator, District 32",House of Representatives,Financial,01/27/2016,false
"Kim, Donna Mercado",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11081.pdf),"Legislator, District 14",Senate,Financial,01/27/2016,false
"Luke, Sylvia J.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8708.pdf),"Legislator, District 25",House of Representatives,Financial,01/27/2016,false
"Dela Cruz, Donovan Michael",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8696.pdf),"Legislator, District 22",Senate,Financial,01/26/2016,false
"Yamashita, Kyle T.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11062.pdf),"Legislator, District 12",House of Representatives,Financial,01/25/2016,false
"Say, Calvin K.Y.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8659.pdf),"Legislator, District 20",House of Representatives,Financial,01/25/2016,false
"Gabbard, Gerald Michael",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8651.pdf),"Legislator, District 20",Senate,Financial,01/25/2016,false
"Maesaka-Hirata, Jodie F.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8648.pdf),Deputy Director,Department of Public Safety,Financial,01/25/2016,false
"Ward, Gene R.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8646.pdf),"Legislator, District 17",House of Representatives,Financial,01/24/2016,false
"Kobayashi, Bertrand Y.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8645.pdf),"Legislator, District 19",House of Representatives,Financial,01/24/2016,false
"Taniguchi, Brian T.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8642.pdf),"Legislator, District 11",Senate,Financial,01/23/2016,false
"Shimabukuro, Maile S.L.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8603.pdf),"Legislator, District 21",Senate,Financial,01/19/2016,false
"Ohno, Takashi",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8601.pdf),"Legislator, District 27",House of Representatives,Financial,01/19/2016,false
"Rhoads, Karl A.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8584.pdf),"Legislator, District 29",House of Representatives,Financial,01/17/2016,false
"Takamori, Kellie T.",Form (http://files.hawaii.gov/ethics/disc/2016/GiftDisc_8581.pdf),Teacher,Department of Education,Gift,01/15/2016,false
"Thielen, Laura H.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8580.pdf),"Legislator, District 25",Senate,Financial,01/14/2016,false
"Green, Joshua B.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-10975.pdf),"Legislator, District 3",Senate,Financial,01/11/2016,false
"Tokioka, James K.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8526.pdf),"Legislator, District 15",House of Representatives,Financial,01/11/2016,false
"McKelvey, Angus L.K.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8525.pdf),"Legislator, District 10",House of Representatives,Financial,01/11/2016,false
"Evans, Cynthia Frances Wood",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8521.pdf),"Legislator, District 7",House of Representatives,Financial,01/10/2016,false
"Kong, Samuel Satoru",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8517.pdf),"Legislator, District 33",House of Representatives,Financial,01/07/2016,false
"Aquino, Henry James C.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8501.pdf),"Legislator, District 38",House of Representatives,Financial,01/07/2016,false
"Thielen, Cynthia H.",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-10973.pdf),"Legislator, District 50",House of Representatives,Financial,01/06/2016,false
"Kahele, Gilbert",Form (http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-10974.pdf),"Legislator, District 1",Senate,Financial,01/06/2016,false
"Nishihara, Clarence K.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8484.pdf),"Legislator, District 17",Senate,Financial,01/06/2016,false
"Mizuno, John Musashi",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8483.pdf),"Legislator, District 28",House of Representatives,Financial,01/06/2016,false
"Ruderman, Russell E.",Form (http://files.hawaii.gov/ethics/disc/2016/FinLong_8458.pdf),"Legislator, District 2",Senate,Financial,01/03/2016,false
"Cabral, Nancy Suzanne",Form (http://files.hawaii.gov/ethics/disc/2015/CabralNancy2015-A.pdf),"Board Member, Commissioner",Land Use Commission,Financial,12/23/2015,true
"Johiro, Cynthia M.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8441.pdf),Deputy Attorney General,Department of the Attorney General,Gift,12/17/2015,false
"Buto, Julie N.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8416.pdf),Program Director,Judiciary,Gift,11/27/2015,false
"Spindt, Milo Konane",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8400.pdf),"Board Member, Commissioner",Hawaii Housing Finance and Development Corporation,Financial,11/20/2015,false
"Inouye, Cheryl E.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8366.pdf),Section Administrator,Judiciary,Gift,11/05/2015,false
"Ikeda, Iris K.I.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8365.pdf),Commissioner,Department of Commerce and Consumer Affairs,Gift,11/03/2015,false
"Mamizuka, Brook M.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10728.pdf),Probation Supervisor,Judiciary,Gift,10/19/2015,false
"Pearson, Jeffrey T.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8354.pdf),Deputy Director,Department of Land and Natural Resources,Financial,10/19/2015,false
"Morales, Nenita B.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8353.pdf),Retirement Claims Examiner,Department of Budget and Finance,Gift,10/16/2015,false
"Kato, Kristen L.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8352.pdf),Teacher,Department of Education,Gift,10/16/2015,false
"Baniaga, Jovita M.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8347.pdf),Retirement Claims Examiner IV,Department of Budget and Finance,Gift,10/13/2015,false
"Morikawa, Daynette S.P.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10649.pdf),"Legislator, District 16",House of Representatives,Gift,10/09/2015,false
"Guinto, Maricel O.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10565.pdf),Teacher,Department of Education,Gift,09/15/2015,false
"Prieto, Glenn V.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8300.pdf),Teacher,Department of Education,Gift,09/15/2015,false
"Hankins, Samuel W.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10567.pdf),Teacher,Department of Education,Gift,09/14/2015,false
"Nagata, Rick T.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10572.pdf),Teacher,Department of Education,Gift,09/14/2015,false
"Clark, Marcella R.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10571.pdf),Teacher,Department of Education,Gift,09/14/2015,false
"Korsak, Christopher",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10570.pdf),Teacher,Department of Education,Gift,09/14/2015,false
"Llaneza, Channing A.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10569.pdf),Teacher,Department of Education,Gift,09/14/2015,false
"Kuna, John J.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10568.pdf),Teacher,Department of Education,Gift,09/14/2015,false
"Yamagata, Brian",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10566.pdf),Teacher,Department of Education,Gift,09/14/2015,false
"Hesch, Thomas D.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8291.pdf),Part-time Teacher,Department of Education,Gift,09/11/2015,false
"Rapanot, Ronald M.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10558.pdf),"Board Member, Commissioner",Natural Area Reserves System Commission,Financial,09/10/2015,false
"Monroe, Tracy E.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10573.pdf),Teacher,Department of Education,Gift,09/09/2015,false
"Mau, Carisse K.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8269.pdf),School Counselor,Department of Education,Gift,09/04/2015,false
"Duran, Teresa A.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8273.pdf),Teacher,Department of Education,Gift,09/04/2015,false
"Hesch, Donna H.S.L.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8270.pdf),Teacher,Department of Education,Gift,09/04/2015,false
"Oh, Kimberly A.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8265.pdf),Teacher,Department of Education,Gift,09/03/2015,false
"Maii, Kamilla E.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8261.pdf),Teacher,Department of Education,Gift,09/01/2015,false
"Sato-Sugimoto, Stacie S.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10530.pdf),PTT,Department of Education,Gift,08/28/2015,false
"Miyashiro, Geri T.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8251.pdf),School Counselor,Department of Education,Gift,08/28/2015,false
"Abe, Lee-Ann T.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8236.pdf),Teacher,Department of Education,Gift,08/24/2015,false
"Maii, Kamilla E.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8237.pdf),Teacher,Department of Education,Gift,08/24/2015,false
"Miguel, Coty L.T.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8216.pdf),Teacher,Department of Education,Gift,08/19/2015,false
"Young, En H.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8207.pdf),"Board Member, Commissioner",Hawaii Public Housing Authority,Financial,08/18/2015,false
"Darcy, Lisa A.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8190.pdf),"Board Member, Commissioner",Hawaii Public Housing Authority,Financial,08/13/2015,false
"Shim, Pono D.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8184.pdf),"Board Member, Commissioner",Hawaii Public Housing Authority,Financial,08/12/2015,false
"King, Pamela M.T.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10488.pdf),Teacher,Department of Education,Gift,08/12/2015,false
"Oishi, Darcy E.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_8186.pdf),"Board Member, Commissioner",Natural Area Reserves System Commission,Financial,08/12/2015,false
"Ha, Richard",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_8160.pdf),"Board Member, Commissioner",Board of Agriculture,Financial,08/10/2015,false
"Abbott, Thorne E.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8155.pdf),"Board Member, Commissioner",Legacy Land Conservation Commission,Financial,08/08/2015,false
"Canto, Doreen N.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10486.pdf),"Board Member, Commissioner",Hawaiian Homes Commission,Financial,08/07/2015,false
"Nakagawa, Darryl W.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8131.pdf),,Department of Education,Gift,08/06/2015,false
"Conant, Sheila",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10469.pdf),"Board Member, Commissioner",Natural Area Reserves System Commission,Financial,08/04/2015,false
"Nagamine, Jill T.",Form (http://files.hawaii.gov/ethics/disc/2015/GiftDisc_8117.pdf),Deputy Attorney General,Department of the Attorney General,Gift,08/03/2015,false
"Pavao, Milton D.D.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10465.pdf),"Board Member, Commissioner",Commission on Water Resource Management,Financial,08/03/2015,false
"Starr, Jonathan A.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8113.pdf),"Board Member, Commissioner",Commission on Water Resource Management,Financial,07/31/2015,false
"Uyehara, Letitia Naomi",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8112.pdf),"Board Member, Commissioner",Agribusiness Development Corporation,Financial,07/31/2015,false
"Wilson, Ernest Kaaumoana",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8111.pdf),"Board Member, Commissioner",University of Hawaii Board of Regents,Financial,07/31/2015,false
"Inouye, Cindy Satomi",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10449.pdf),Deputy Director,Department of Human Resources Development,Financial,07/29/2015,true
"Cysewski, Gerald R.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_8080.pdf),"Board Member, Commissioner",Natural Energy Laboratory of Hawaii,Financial,07/28/2015,false
"Hong, Glenn K.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_8087.pdf),"Board Member, Commissioner",Board of Agriculture,Financial,07/28/2015,false
"Horner, Donald E.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_8086.pdf),"Board Member, Commissioner",Board of Education,Financial,07/28/2015,false
"Kahikina, Michael P.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_8082.pdf),"Board Member, Commissioner",Hawaiian Homes Commission,Financial,07/28/2015,false
"Sniffen, Edwin Huddy",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8070.pdf),Deputy Director,Department of Transportation,Financial,07/28/2015,false
"Beamer, Kamanamaikalani B.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8065.pdf),"Board Member, Commissioner",Commission on Water Resource Management,Financial,07/27/2015,false
"Hiranaga, Kent M.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_8055.pdf),"Board Member, Commissioner",Land Use Commission,Financial,07/27/2015,false
"Kimura, Rodney I.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10458.pdf),Deputy Attorney General,Department of the Attorney General,Gift,07/27/2015,false
"Schenk, Douglas R.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8064.pdf),"Board Member, Commissioner",Agribusiness Development Corporation,Financial,07/27/2015,false
"McEnerney, Michael Thomas",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10434.pdf),"Board Member, Commissioner",University of Hawaii Board of Regents,Financial,07/27/2015,false
"Yuen, Stanford B.C.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10432.pdf),"Board Member, Commissioner",University of Hawaii Board of Regents,Financial,07/27/2015,false
"Keith-Agaran, Gilbert S.C.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10429.pdf),"Legislator, District 5",Senate,Gift,07/27/2015,true
"De Lima, Brian J.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10428.pdf),"Board Member, Commissioner",Board of Education,Financial,07/27/2015,false
"Galimba, Michelle M.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_8067.pdf),"Board Member, Commissioner",Board of Agriculture,Financial,07/27/2015,false
"McEnerney, Michael Thomas",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10455.pdf),"Board Member, Commissioner",University of Hawaii Board of Regents,Financial,07/27/2015,false
"De Lima, Brian J.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10453.pdf),"Board Member, Commissioner",Board of Education,Financial,07/27/2015,false
"Richardson, William K.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_8023.pdf),"Board Member, Commissioner",Hawaiian Homes Commission,Financial,07/24/2015,false
"Mizumoto, Lance Allen",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_8013.pdf),"Board Member, Commissioner",Board of Education,Financial,07/23/2015,false
"Tsuji, Russell Y.",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_8000.pdf),"Board Member, Commissioner",Natural Energy Laboratory of Hawaii,Financial,07/21/2015,false
"Balfour, William D.",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10426.pdf),"Board Member, Commissioner",Commission on Water Resource Management,Financial,07/21/2015,false
"Higaki, Wayne Sachio",Form (http://files.hawaii.gov/ethics/disc/2015/FinShort_8003.pdf),"Board Member, Commissioner",University of Hawaii Board of Regents,Financial,07/21/2015,false
"Higaki, Wayne Sachio",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_7998.pdf),"Board Member, Commissioner",University of Hawaii Board of Regents,Financial,07/21/2015,false
"Tomiyasu, Danette S.L.W.",Form (http://files.hawaii.gov/ethics/disc/2015/FinLong_7983.pdf),Deputy Director,Department of Health,Financial,07/20/2015,false
"Hilton, Alan Clark",Form (http://files.hawaii.gov/ethics/disc/2015/Kfx10Dis-10420.pdf),"Board Member, Commissioner",Natural Energy Laboratory of Hawaii,Financial,07/20/2015,false
